id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
0muagXUrPCHrzEkQ7ZmkvR,Shottas,3/23 (LongLiveRobertTaylors),3nF0CPZKvcMkvKXHa3CHWb,['Berg Redstar'],['4maV9Fw6dicVXgpyhXDFPm'],5,1,True,0.52,0.628,8,-9.087,1,0.534,0.0981,0.0,0.131,0.362,159.828,212857,4.0,2020,2020-11-18
3RT4qV0XRY8BdhN73MdRR5,Friday,3/23 (LongLiveRobertTaylors),3nF0CPZKvcMkvKXHa3CHWb,['Berg Redstar'],['4maV9Fw6dicVXgpyhXDFPm'],6,1,True,0.691,0.594,1,-10.473,1,0.341,0.5589999999999999,0.0,0.688,0.5529999999999999,140.149,178436,4.0,2020,2020-11-18
18UUWeuyrnNrXXLG031iub,Federal Indictment,3/23 (LongLiveRobertTaylors),3nF0CPZKvcMkvKXHa3CHWb,['Berg Redstar'],['4maV9Fw6dicVXgpyhXDFPm'],7,1,True,0.597,0.509,1,-9.687,1,0.4,0.151,0.0,0.216,0.212,101.727,178436,3.0,2020,2020-11-18
0X9fBzB0JyF4cTIfspq4DM,44,3/23 (LongLiveRobertTaylors),3nF0CPZKvcMkvKXHa3CHWb,['Berg Redstar'],['4maV9Fw6dicVXgpyhXDFPm'],8,1,True,0.855,0.556,0,-9.731,0,0.163,0.146,8.08e-06,0.156,0.162,109.978,178886,4.0,2020,2020-11-18
6D3uOWB9SpXQgYqQdduTHu,Gotta be a way out,3/23 (LongLiveRobertTaylors),3nF0CPZKvcMkvKXHa3CHWb,"['Berg Redstar', 'Bigdawg Piff']","['4maV9Fw6dicVXgpyhXDFPm', '53t8XgXPhZr16ZJD37EPh8']",9,1,True,0.6859999999999999,0.465,9,-11.742,1,0.4379999999999999,0.513,0.0,0.252,0.488,85.046,327887,4.0,2020,2020-11-18
08ofboy41dw49q7DA7Zohh,I Thought Wrong,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],1,1,True,0.486,0.524,1,-8.49,1,0.2,0.62,0.000108,0.154,0.251,113.575,132362,4.0,2020,2020-11-14
4cVaPPuyMv5ceXoAUhWw8D,I Wanna Know,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],2,1,True,0.3329999999999999,0.563,0,-7.606,1,0.2269999999999999,0.518,0.617,0.163,0.358,97.273,97149,4.0,2020,2020-11-14
2VW2Ip6mEdgroNC985aErm,Late Nyte Loverz,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],3,1,True,0.242,0.662,4,-8.256,1,0.177,0.0399,0.0,0.163,0.349,175.03799999999995,211409,5.0,2020,2020-11-14
5laPbj21WRFlkYSa0r4bsr,Cuz I'm On,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],4,1,True,0.382,0.6859999999999999,10,-7.202000000000001,1,0.132,0.0685,0.00278,0.326,0.496,133.616,146782,4.0,2020,2020-11-14
2A7RuncNjDRwQVQhenSoal,Model X,Cartier Vision,6qLbcpstVreuKrpeJmCIgD,['Cartier God'],['0JNHpdag1QhEEdQkKQvquh'],5,1,True,0.5660000000000001,0.477,7,-10.237,1,0.102,0.0469,4.85e-06,0.13,0.171,139.963,150936,4.0,2020,2020-11-14
